SN,address_raw,address
1,"100/15 Moti Marg, Kamal pokhari","100/15 Moti Marg, Kamal Pokhari"
2,"108 Ram Marga, Near Kings college, near Kusum Law Firm","108 Ram Marg, Near Kings College, Near Kusum Law Firm"
